Date,Close,High,Low,Volume,Open
01-02-2020 16:00,160.62,160.73,158.33,22634546,158.78
01-03-2020 16:00,158.62,159.95,158.06,21121681,158.32
01-06-2020 16:00,159.03,159.1,156.51,20826702,157.08
01-07-2020 16:00,157.58,159.67,157.32,21881740,159.32
01-08-2020 16:00,160.09,160.8,157.95,27762026,158.93
01-09-2020 16:00,162.09,162.22,161.03,21399951,161.84
01-10-2020 16:00,161.34,163.22,161.18,20733946,162.82
1/13/2020 16:00:00,163.28,163.31,161.26,21637007,161.76
1/14/2020 16:00:00,162.13,163.6,161.72,23500783,163.39
1/15/2020 16:00:00,163.18,163.94,162.57,21417871,162.62
1/16/2020 16:00:00,166.17,166.24,164.03,23865360,164.35
1/17/2020 16:00:00,167.1,167.47,165.43,34371659,167.42
1/21/2020 16:00:00,166.5,168.19,166.43,29517191,166.68
1/22/2020 16:00:00,165.7,167.49,165.68,24138777,167.4
1/23/2020 16:00:00,166.72,166.8,165.27,19680766,166.19
1/24/2020 16:00:00,165.04,167.53,164.45,24918117,167.51
1/27/2020 16:00:00,162.28,163.38,160.2,32078067,161.15
1/28/2020 16:00:00,165.46,165.76,163.07,24899940,163.78
1/29/2020 16:00:00,168.04,168.75,165.69,35127771,167.84
1/30/2020 16:00:00,172.78,174.05,170.79,51597470,174.05
1/31/2020 16:00:00,170.23,172.4,169.58,36142690,172.21
02-03-2020 16:00,174.38,174.5,170.4,30149052,170.43
02-04-2020 16:00,180.12,180.64,176.31,36433339,177.14
02-05-2020 16:00,179.9,184.2,178.41,39186324,184.03
02-06-2020 16:00,183.63,183.82,180.06,27751381,180.97
02-07-2020 16:00,183.89,185.63,182.48,33529074,182.85
02-10-2020 16:00,188.7,188.84,183.25,35844267,183.58
02-11-2020 16:00,184.44,190.7,183.5,53159906,190.65
02-12-2020 16:00,184.71,185.85,181.85,47062921,185.58
2/13/2020 16:00:00,183.71,186.23,182.87,35295834,183.08
2/14/2020 16:00:00,185.35,185.41,182.65,23149516,183.25
2/18/2020 16:00:00,187.23,187.7,185.5,27853113,185.61
2/19/2020 16:00:00,187.28,188.18,186.47,29997471,188.06
2/20/2020 16:00:00,184.42,187.25,181.1,36862376,186.95
2/21/2020 16:00:00,178.59,183.5,177.25,48600385,183.17
2/24/2020 16:00:00,170.89,174.55,163.23,68311066,167.77
2/25/2020 16:00:00,168.07,174.84,167.65,68073295,174.2
2/26/2020 16:00:00,170.17,173.26,168.21,56387148,169.71
2/27/2020 16:00:00,158.18,167.03,157.98,93174906,163.32
2/28/2020 16:00:00,162.01,163.71,152,97073557,152.41
03-02-2020 16:00,172.79,172.92,162.31,71030810,165.31
03-03-2020 16:00,164.51,175,162.26,71677019,173.8
03-04-2020 16:00,170.55,170.7,165.62,49814383,168.49
03-05-2020 16:00,166.27,170.87,165.69,47817251,166.05
03-06-2020 16:00,161.57,163.11,156,72821057,162.61
03-09-2020 16:00,150.62,157.75,150,70419274,151
03-10-2020 16:00,160.92,161.03,152.58,65354385,158.16
03-11-2020 16:00,153.63,157.7,151.15,56504304,157.13
03-12-2020 16:00,139.06,153.47,138.58,93226366,145.3
3/13/2020 16:00:00,158.83,161.91,140.73,92727446,147.5
3/16/2020 16:00:00,135.42,149.35,135,87905868,140
3/17/2020 16:00:00,146.57,147.5,135,81059817,140
3/18/2020 16:00:00,140.4,146,135.02,81593173,138
3/19/2020 16:00:00,142.71,150.15,139,85922661,142.77
3/20/2020 16:00:00,137.35,147.1,135.86,84866215,146
3/23/2020 16:00:00,135.98,140.57,132.52,78975176,137.01
3/24/2020 16:00:00,148.34,149.6,141.27,82516727,143.75
3/25/2020 16:00:00,146.92,154.33,144.44,75638224,148.91
3/26/2020 16:00:00,156.11,156.66,148.37,64694427,148.4
3/27/2020 16:00:00,149.7,154.89,149.2,57042291,151.75
3/30/2020 16:00:00,160.23,160.6,150.01,63420326,152.44
3/31/2020 16:00:00,157.71,164.78,156.56,77927186,159.4
04-01-2020 16:00,152.11,157.75,150.82,57969926,153
04-02-2020 16:00,155.26,155.48,150.36,49630735,151.86
04-03-2020 16:00,153.83,157.38,152.19,41243284,155.1
04-06-2020 16:00,165.27,166.5,157.58,67111697,160.32
04-07-2020 16:00,163.49,170,163.26,62769038,169.59
04-08-2020 16:00,165.13,166.67,163.5,48318234,165.67
04-09-2020 16:00,165.14,167.37,163.33,51431775,166.36
